FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
28.7141,29.257519,-5.64032,53.251572,81.108917,464.529297
28.815765,29.543634,-5.483627,52.955372,81.274582,464.7854
28.874094,29.828062,-5.307098,52.612923,81.407852,465.08548
28.890919,30.110582,-5.11209,52.227589,81.514557,465.423279
28.867971,30.390993,-4.899905,51.80262,81.600212,465.792999
28.806898,30.669121,-4.671795,51.341129,81.670067,466.188965
28.709295,30.944817,-4.428975,50.846107,81.729004,466.605927
28.576723,31.217966,-4.172625,50.320404,81.781662,467.038727
28.410734,31.48847,-3.903908,49.766777,81.83242,467.482605
28.986,31.756248,-3.623961,49.187847,81.885391,467.932922
27.984577,32.021214,-3.333904,48.586124,81.944557,468.385345
27.727369,32.283249,-3.034828,47.963982,82.013634,468.835632
27.442646,32.542271,-2.72779,47.323681,82.096222,469.279755
27.13179,32.798164,-2.413801,46.667408,82.195656,469.71402
