L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
1.136226,1.31695,1.329524,1.298078,0.721564,0.901184,0.915418,0.877389,0.55828,0.523198,0.564343,0.609308,0.471298,0.481502,0.447226,0.401412,0.063948,0.091999,0.098605,0.07274,0.083135,0.060851,0.055894,0.040796
1.134363,1.315336,1.327875,1.296275,0.719476,0.899022,0.913264,0.875314,0.558012,0.522686,0.563714,0.608867,0.471309,0.481712,0.447164,0.401524,0.064255,0.090425,0.096962,0.071662,0.083673,0.060702,0.055856,0.040776
1.132396,1.313618,1.326135,1.294369,0.717254,0.896717,0.91096,0.87308,0.557744,0.522156,0.563069,0.60841,0.471317,0.481916,0.447102,0.401633,0.064583,0.088754,0.095216,0.070501,0.084274,0.060556,0.05581,0.040758
1.13034,1.311803,1.324317,1.292373,0.714915,0.894282,0.908518,0.870694,0.557482,0.521616,0.562422,0.607946,0.471322,0.482106,0.447041,0.401735,0.06493,0.086997,0.093379,0.069264,0.08494,0.060418,0.055755,0.040745
1.128207,1.309902,1.322432,1.290299,0.712476,0.891735,0.905953,0.868169,0.557233,0.521076,0.561783,0.607483,0.471323,0.482279,0.446983,0.401828,0.065294,0.085173,0.091469,0.06796,0.085675,0.06029,0.05569,0.040736
1.126011,1.307923,1.320488,1.288158,0.709958,0.889093,0.903283,0.865521,0.557003,0.520546,0.561164,0.607032,0.471319,0.482429,0.446927,0.401913,0.06567,0.083298,0.089504,0.066602,0.086481,0.060175,0.055616,0.040733
1.12376,1.305874,1.318492,1.285959,0.707381,0.886372,0.900527,0.86277,0.556798,0.520037,0.560578,0.606602,0.471308,0.482555,0.446875,0.401988,0.066054,0.081393,0.087503,0.065204,0.087359,0.060075,0.055534,0.040736
1.121463,1.303764,1.316448,1.283707,0.704765,0.88359,0.897702,0.859933,0.556623,0.51956,0.560034,0.606204,0.47129,0.482656,0.446826,0.402054,0.066443,0.079479,0.085485,0.063782,0.088312,0.05999,0.055444,0.040744
1.119125,1.301596,1.314357,1.281407,0.702129,0.880762,0.894825,0.857028,0.55648,0.519122,0.559541,0.605846,0.471262,0.482733,0.44678,0.402112,0.066831,0.077575,0.083472,0.062353,0.089339,0.05992,0.055348,0.040758
1.116748,1.299376,1.312222,1.279061,0.699487,0.877902,0.891911,0.854071,0.556371,0.518729,0.559105,0.605533,0.471223,0.482788,0.446736,0.402162,0.067215,0.075701,0.081481,0.060933,0.090444,0.059864,0.055247,0.040777
1.114335,1.297105,1.310041,1.276672,0.696856,0.875024,0.888973,0.851078,0.556297,0.518383,0.55873,0.605271,0.471172,0.482822,0.446694,0.402202,0.067593,0.073876,0.079531,0.059539,0.091626,0.059821,0.055141,0.040801
1.111885,1.294786,1.307815,1.274239,0.694248,0.872138,0.886024,0.848061,0.556255,0.518087,0.558417,0.605061,0.471106,0.482837,0.446654,0.402232,0.06796,0.072114,0.077638,0.058184,0.092888,0.05979,0.055032,0.04083
1.109398,1.292418,1.30554,1.271763,0.691674,0.869254,0.883072,0.845034,0.556244,0.51784,0.558163,0.604901,0.471025,0.482836,0.446616,0.402254,0.068314,0.07043,0.075818,0.056883,0.09423,0.059769,0.054921,0.040865
1.106873,1.290001,1.303215,1.269243,0.689145,0.866381,0.880125,0.842005,0.556262,0.517638,0.557964,0.604788,0.47093,0.482822,0.446578,0.402267,0.068652,0.068835,0.074083,0.05565,0.095655,0.059756,0.054808,0.040905
